Value,Count,LC20_BPS_220,LC24_SCla_250,nps_4kplus,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL,UNIT_NAME,UNIT_TYPE
85,12636.000000000000000,724,2,369,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,B,North Cascades National Park,National Park
86,305.000000000000000,725,7,369,10380_1_7,North Pacific Maritime Mesic Subalpine Parkland,Conifer,5183,-9999,-9999,5183,UE,North Cascades National Park,National Park
87,823.000000000000000,728,3,369,10412_1_7,North Pacific Mountain Hemlock Forest-Xeric,Conifer,294,615,1001,166,C,North Cascades National Park,National Park
88,5735.000000000000000,730,2,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,B,North Cascades National Park,National Park
89,2045.000000000000000,730,1,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,A,North Cascades National Park,National Park
90,3097.000000000000000,730,3,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,C,North Cascades National Park,National Park
91,56.000000000000000,730,4,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,D,North Cascades National Park,National Park
92,146.000000000000000,741,132,369,10840_1,North Pacific Montane Shrubland,Shrubland,10975,-9999,-9999,10975,Barren or Sparse,North Cascades National Park,National Park
93,526.000000000000000,756,1,369,11710_1,North Pacific Alpine and Subalpine Dry Grassland,Grassland,504,-9999,-9999,504,A,North Cascades National Park,National Park
94,416.000000000000000,730,132,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,Barren or Sparse,North Cascades National Park,National Park
95,14381.000000000000000,724,3,369,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,C,North Cascades National Park,National Park
96,734.000000000000000,724,7,369,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,UE,North Cascades National Park,National Park
97,5505.000000000000000,759,1,369,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,-9999,-9999,-9999,-9999,A,North Cascades National Park,National Park
98,2360.000000000000000,759,7,369,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,-9999,-9999,-9999,-9999,UE,North Cascades National Park,National Park
99,3306.000000000000000,721,2,369,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,B,North Cascades National Park,National Park
100,8917.000000000000000,721,3,369,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,C,North Cascades National Park,National Park
101,2376.000000000000000,750,1,369,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,A,North Cascades National Park,National Park
102,5334.000000000000000,721,5,369,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,E,North Cascades National Park,National Park
103,2205.000000000000000,753,3,369,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,465,233,-9999,155,C,North Cascades National Park,National Park
104,13791.000000000000000,750,3,369,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,C,North Cascades National Park,National Park
105,166.000000000000000,736,1,369,10630_1,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,457,915,-9999,304,A,North Cascades National Park,National Park
106,4636.000000000000000,724,4,369,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,D,North Cascades National Park,National Park
